,Value,Rob. Std err,Rob. t-test,Rob. p-value
asc_alone,-7.03668631199883,0.9201794661022625,-7.647080348146804,2.0650148258027912e-14
asc_sib,-8.66846334288254,1.2417129647958776,-6.981052456279643,2.929878561985788e-12
b_age_alone,0.504174058765998,0.04850452225604905,10.394372221718395,0.0
b_age_sib,0.22179625435025668,0.06855745806966805,3.2351878350691976,0.001215627307582956
b_female_alone,-0.7109557139210342,0.1612544872101207,-4.408904993723567,1.0389458664050721e-05
b_female_sib,-0.5129702839564086,0.21687892468878442,-2.365238045570853,0.01801848517056248
b_has_big_sib_alone,0.03914608072700911,0.16592260052264465,0.23592976848061495,0.813487168290862
b_has_big_sib_sib,0.7776994896199532,0.26304796071286085,2.9564931334665547,0.003111591597559027
b_has_lil_sib_alone,-0.671714202114495,0.17012596540784536,-3.9483344033004313,7.869682453032212e-05
b_has_lil_sib_sib,0.58582716986672,0.28125457958990924,2.0829071324666106,0.03725968936334767
b_log_density_alone,0.03126271984664407,0.06799447283862027,0.45978325210114895,0.6456718056885828
b_log_density_sib,0.317180930324652,0.09169634088713706,3.4590358487155877,0.0005421127458586916
b_log_distance_alone,-1.0716774233362996,0.14071730269263855,-7.615818402070345,2.6201263381153694e-14
b_log_distance_sib,-1.2598959568569819,0.17216994258367344,-7.317746279927351,2.5224267119483557e-13
b_log_income_k_alone,0.053954194648577695,0.08906375403830152,0.6057929539481898,0.5446522491860852
b_log_income_k_sib,0.21548249901289715,0.13132462832436217,1.6408384456316238,0.10083095531852448
b_non_work_dad_alone,-0.10009561888629234,0.26754391821009493,-0.37412780509437704,0.7083092329005167
b_non_work_dad_sib,0.3728157909572611,0.3172323994727681,1.1752134762302688,0.2399093200579152
b_non_work_mom_alone,-0.3275520065856994,0.1767968315528407,-1.8527029229469039,0.06392495084571448
b_non_work_mom_sib,-0.08933353309956941,0.23307471550514064,-0.38328281515203266,0.7015100796889513
b_veh_per_driver_alone,0.02520181667949132,0.12975700756758823,0.19422316491357214,0.8460011452479765
b_veh_per_driver_sib,0.030719863263988175,0.22924751402309257,0.13400303769878047,0.8934001723655092
