,Value,Rob. Std err,Rob. t-test,Rob. p-value
b_female_sib_car,-1.1363969051133347,0.8742932520522775,-1.299789175366282,0.19367323651475998
b_female_sib_walk,-0.7802203062283339,0.2574850229128845,-3.0301580161899655,0.002444258210374084
b_has_big_sib_MomDad_bike,-11.76042692704894,2.3207415221160725,-5.067529845514928,4.0301132897546665e-07
b_has_big_sib_MomDad_car,0.018356794334800412,0.5383367712491012,0.03409909059752169,0.9727981336627991
b_has_big_sib_MomDad_walk,-0.4729943259994762,0.6068133261368682,-0.7794725422572397,0.4357014059649089
b_has_big_sib_alone_bike,0.07731459970307943,0.3055218934641785,0.2530574775720429,0.8002237975555675
b_has_big_sib_alone_walk,0.09977719725665782,0.2054750748101134,0.4855927043650689,0.6272559701250302
b_has_big_sib_dad_bike,-0.6739740510490749,0.7221592966554716,-0.9332761541261652,0.35067740386292634
b_has_big_sib_dad_car,0.054054058630765324,0.16334335906111208,0.33092290339481717,0.7407027213443698
b_has_big_sib_dad_walk,0.29624990892306297,0.352587057309335,0.8402177640433188,0.4007863000848042
b_has_big_sib_mom_bike,-0.7508234434630596,0.6945012158593873,-1.0810973779707185,0.27965379965002457
b_has_big_sib_mom_walk,0.2179602701784877,0.2436377942860865,0.8946077960406771,0.3709967828830467
b_has_big_sib_non_hh_bike,-0.3284864886800581,0.7577790286252979,-0.4334858530935753,0.6646618414181655
b_has_big_sib_non_hh_car,0.0855430286101009,0.28966526371042584,0.2953168340392275,0.7677518579810192
b_has_big_sib_non_hh_walk,0.042061245646551504,0.2846458287616339,0.14776694894684064,0.882526693860251
b_has_big_sib_sib_bike,-0.10970950981995407,0.8018127341516608,-0.13682684889761654,0.8911676608782431
b_has_big_sib_sib_car,9.14345770369772,0.7591747620023124,12.0439431884985,0.0
b_has_big_sib_sib_walk,0.8714857349009932,0.30438111781040217,2.8631399384104976,0.004194652595656878
b_has_lil_sib_MomDad_bike,-1.3200787190034133,0.4764882314064455,-2.7704329970688897,0.0055981816796735195
b_has_lil_sib_MomDad_car,-0.2025109661379801,0.5390125898709017,-0.3757073024703992,0.7071345084006135
b_has_lil_sib_MomDad_walk,-0.016373098884855556,0.6448952689218117,-0.025388771904358103,0.9797448669449615
b_has_lil_sib_alone_bike,-0.5741634451155556,0.3086333851962823,-1.8603413391276629,0.0628372483611801
b_has_lil_sib_alone_walk,-0.6788260334951388,0.21468580514982072,-3.1619511733503436,0.0015671583914180776
b_has_lil_sib_dad_bike,0.016150268568745546,0.622202770039657,0.025956600237758802,0.9792919547694536
b_has_lil_sib_dad_car,0.029285133414556335,0.1632246152659851,0.17941615832167415,0.8576109447372771
b_has_lil_sib_dad_walk,0.8934942403159897,0.3746616250027139,2.3848031949082524,0.01708826029603383
b_has_lil_sib_mom_bike,-0.07703826596371136,0.6236305807915862,-0.1235318926565872,0.9016859210042938
b_has_lil_sib_mom_walk,0.2868914702904573,0.25366047701536665,1.1310057982469124,0.2580526509865515
b_has_lil_sib_non_hh_bike,-2.2562646811032483,1.052258356179112,-2.1442117022439633,0.032015927855768345
b_has_lil_sib_non_hh_car,-0.07310570812812912,0.2951969142190556,-0.24765065150335502,0.8044047169321027
b_has_lil_sib_non_hh_walk,0.14823965437665307,0.282596378000768,0.5245631788538005,0.5998868891899463
b_has_lil_sib_sib_bike,-0.2506592691137178,0.8734059373660479,-0.28699057149718626,0.7741195395687688
b_has_lil_sib_sib_car,0.03430212087110732,0.9093659285447893,0.03772092157224233,0.969910194863836
b_has_lil_sib_sib_walk,0.907147122472472,0.3344853610209713,2.7120682343272904,0.0066864827167059104
b_log_density_MomDad_bike,1.7544202244754057,0.5923493937092847,2.961799645795613,0.003058467313161284
b_log_density_MomDad_car,-0.010940958017132185,0.22704095907845528,-0.04818935782134128,0.9615653315635841
b_log_density_MomDad_walk,0.16785579903713815,0.2427863804035636,0.6913723857084794,0.4893315530932232
b_log_density_alone_bike,-0.08491612140052625,0.10035844529986421,-0.8461283068585076,0.3974811710433812
b_log_density_alone_walk,0.14590297247678222,0.09934682091680208,1.4686224594843207,0.1419352196014978
b_log_density_dad_bike,-0.022965992976133966,0.1395997186716234,-0.16451317520314093,0.869327175742342
b_log_density_dad_car,-0.08216076036467719,0.06064666528293895,-1.3547448978664711,0.17549884783813985
b_log_density_dad_walk,0.7552867065476668,0.23176053247972822,3.2589099553166188,0.001118411593183044
b_log_density_mom_bike,0.007409228069043204,0.2981082294234949,0.024854154759067708,0.9801712951279835
b_log_density_mom_walk,0.48650649691938513,0.12697714067496293,3.8314494588025747,0.00012739054548083217
b_log_density_non_hh_car,-0.11123409653789967,0.09488292739370024,-1.1723299395723015,0.24106461574124283
b_log_density_non_hh_walk,0.12047804831803348,0.0853444065300315,1.4116689448843838,0.158047461461158
b_log_density_sib_bike,0.04446380223616405,0.19940060647443733,0.22298729689101623,0.8235453932221879
b_log_density_sib_car,-0.058455236801727074,0.2744273219759436,-0.2130080794464455,0.8313206608110251
b_log_density_sib_walk,0.5161815001476042,0.11799335232947318,4.3746659447921195,1.2161857626313832e-05
b_log_distance_MomDad_bike,-1.8190217022474677,0.5802617842511295,-3.134829402206883,0.0017195407878565216
b_log_distance_MomDad_car,-0.28648382519962057,0.578628598113402,-0.4951083063189254,0.6205236708219513
b_log_distance_MomDad_walk,-0.9871396417788001,0.36852606250674536,-2.6786155504557616,0.0073927219749296835
b_log_distance_alone_bike,0.1716056521228777,0.27690489564885074,0.619727765089768,0.5354370327944107
