,Value,Rob. Std err,Rob. t-test,Rob. p-value
asc_MomDad,0.9594505681620379,2.075113572635504,0.46236050923395244,0.643822813927621
asc_alone,-7.249767954334291,0.9815495628178756,-7.386043689450932,1.5121237595394632e-13
asc_dad,-1.170627724247267,0.8321147413487824,-1.4068104626409883,0.1594835992787671
asc_non_hh,-2.8334121671294175,1.0189486252116984,-2.780721320999617,0.005423827479560606
asc_sib,-9.167715353726543,1.3171498228788607,-6.9602676889777815,3.396172232328354e-12
b_age_MomDad,-0.029664695343895646,0.10483245949787522,-0.28297242558252583,0.7771979746673381
b_age_alone,0.5553850105928008,0.05243004450618175,10.59287696250798,0.0
b_age_dad,0.05586214659652264,0.04486161968828289,1.2452102038373998,0.21305449281196331
b_age_non_hh,0.27173326733196373,0.06157934121984554,4.4127342376373235,1.0207326424982455e-05
b_age_sib,0.26487979748254825,0.0717441728037104,3.692004341694068,0.00022249366579130125
b_female_MomDad,-0.29319698086769097,0.35129809478418905,-0.8346102219763218,0.4039372048776215
b_female_alone,-0.8249121614155402,0.17028427024889992,-4.844323907368476,1.2704353380410538e-06
b_female_dad,-0.18682520751869983,0.13571008889114372,-1.3766493636928994,0.16862068112209405
b_female_non_hh,-0.3629467841340772,0.192675162637656,-1.883723771997708,0.05960234917757212
b_female_sib,-0.63238128215633,0.22534223952172502,-2.806314890180022,0.005011169538444271
b_has_big_sib_MomDad,-0.2958185368611348,0.41032859486160295,-0.7209308358363606,0.470952069679647
b_has_big_sib_alone,0.07191482742346127,0.17606509405401016,0.4084559055266258,0.6829389967871315
b_has_big_sib_dad,0.055840827893320316,0.15199101261221268,0.36739559092083734,0.7133239599355234
b_has_big_sib_non_hh,0.056331485008632866,0.20487389776387513,0.2749568667530161,0.7833493768211583
b_has_big_sib_sib,0.8059756753555364,0.27082260615988923,2.9760280605220286,0.0029200814198970804
b_has_lil_sib_MomDad,-0.30906458937946935,0.3956864043794405,-0.7810846821087494,0.434752690502771
b_has_lil_sib_alone,-0.6321562023036666,0.1795799073773665,-3.5201945002414057,0.00043123044674575617
b_has_lil_sib_dad,0.09928445820595637,0.15272560205850555,0.6500839208865771,0.5156380148367312
b_has_lil_sib_non_hh,-0.08858256812424313,0.2043165115189164,-0.43355560187333086,0.6646111813260633
b_has_lil_sib_sib,0.6324636269383589,0.2882592952748989,2.194078863390022,0.028229740504148948
b_log_density_MomDad,0.04671089565644904,0.19108225766577083,0.24445438434243763,0.8068789264130256
b_log_density_alone,0.006625592257879297,0.07042146132840368,0.09408484477454235,0.9250417590932734
b_log_density_dad,-0.05240441418253139,0.05939841846857259,-0.8822526850653154,0.37764017691789986
b_log_density_non_hh,-0.047112456813603806,0.06678064332402589,-0.7054807271773317,0.480511121625931
b_log_density_sib,0.29327360884450265,0.09384709683481655,3.12501525071898,0.0017779584171975227
b_log_distance_MomDad,-0.1903863727581193,0.29906728096156404,-0.6366004737996988,0.5243851165038094
b_log_distance_alone,-1.04504918503879,0.15805947982938778,-6.611746325920056,3.7981173761636455e-11
b_log_distance_dad,0.31567106414990803,0.13799268516485422,2.287592735606157,0.022161249341389633
b_log_distance_non_hh,-0.2438095190501822,0.17947894861289554,-1.35842961491844,0.1743274024397341
b_log_distance_sib,-1.2482349117741824,0.1879047768354403,-6.642912079171559,3.0754510049746386e-11
b_log_income_k_MomDad,-0.16937421977547598,0.18874315254051854,-0.897379414806137,0.3695164931190018
b_log_income_k_alone,0.1399682646994925,0.09757915231178069,1.4344074669994258,0.15145601803694286
b_log_income_k_dad,0.24340089568971,0.08531232108967009,2.8530567751623606,0.004330088461537596
b_log_income_k_non_hh,-0.03520253305580972,0.11438836658647102,-0.30774574466188076,0.7582758085996246
b_log_income_k_sib,0.3036920702826589,0.1385395399911,2.192096713343848,0.028372524027952206
b_n_adults_MomDad,-1.2835824593533456,0.6357975399795434,-2.01885408269218,0.04350238792471495
b_n_adults_alone,0.22060604261724276,0.12759804821423898,1.728913927012755,0.08382450109648598
b_n_adults_dad,-0.08953217493800392,0.12664926574933646,-0.7069300750247184,0.4796099330400345
b_n_adults_non_hh,-0.17149998333590036,0.1695039787010743,-1.0117755621438602,0.31164537707777806
b_n_adults_sib,0.31900617996384395,0.1503750813914424,2.1214032073135627,0.0338878855925735
b_non_work_dad_MomDad,1.380148994189311,0.465347372001078,2.965846757132033,0.0030185085248655152
b_non_work_dad_alone,0.2640283257281314,0.3264847592242034,0.8087003091829412,0.41868755029600235
b_non_work_dad_dad,1.2487484356395266,0.22461648071684218,5.559469330363759,2.705961410498503e-08
b_non_work_dad_non_hh,0.26575062810434763,0.3933116453777071,0.6756744460214001,0.4992473637607613
b_non_work_dad_sib,0.6607396954083944,0.3441453867807692,1.91994349129342,0.054865037586094845
b_non_work_mom_MomDad,-0.4575390905153716,0.4068019028430925,-1.1247221001614855,0.2607068136535493
b_non_work_mom_alone,-0.6491211755782815,0.2000394386952628,-3.2449659917669704,0.0011746465121873495
b_non_work_mom_dad,-0.6022111060472417,0.1536425019560201,-3.9195606578941518,8.871053297521136e-05
b_non_work_mom_non_hh,-0.9198199945468036,0.24374661247667598,-3.773672935187236,0.00016086162139594684
b_non_work_mom_sib,-0.4235542216147417,0.24968476279781435,-1.6963559044158436,0.08981849920044715
b_veh_per_driver_MomDad,-0.102674172651847,0.675063689559266,-0.15209553445080223,0.8791115862253882
b_veh_per_driver_alone,-0.3217594451891302,0.1937482473981305,-1.6607089329068938,0.09677191845780175
b_veh_per_driver_dad,-0.45900048858539816,0.17352482309544126,-2.6451575077125478,0.008165289950595511
b_veh_per_driver_non_hh,-0.48933190876498367,0.19439637462873455,-2.517186391461919,0.011829622926717187
b_veh_per_driver_sib,-0.16820763766245714,0.24916717042103975,-0.6750794552035962,0.49962528567560316
