"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_dp",1.49735658057084,11.5050951392474,0.13014725758007,2.2942379442731,0.652659670418475
"asc_do",-3.93069022189797,26.5977686471073,-0.147782705912267,22.9616507000597,-0.17118500203854
"asc_wa",0,NA,NA,NA,NA
"asc_wp",0.969103627133647,11.9126199593037,0.0813510067847652,2.3149536455683,0.418627659775771
"asc_wo",-1.32934161613387,11.6129978097861,-0.114470151282871,2.5464622259061,-0.522034688993219
"asc_ba",-0.248280069912847,47.9508141676016,-0.00517780718060465,9.662870969943,-0.0256942342172568
"asc_bp",-0.056352081153821,14.8959972635586,-0.00378303514405712,2.38087429077622,-0.023668650366017
"asc_bo",-3.1907837487566,20.9318871071473,-0.152436506676319,16.8176425671046,-0.189728360323093
"beta_nadults_dp",0.227138433794135,0.416130493030403,0.54583463023831,0.28435060682758,0.798797077763453
"beta_nadults_do",0.033023623712772,0.215049433574235,0.153562942082209,0.0720970890134068,0.458043787407715
"beta_nadults_wa",0,NA,NA,NA,NA
"beta_nadults_wp",0.0182557997777692,0.216817418086043,0.0841989538429264,0.0752207694613294,0.242696264721866
"beta_nadults_wo",0.223232838897051,0.378495139460714,0.58979050355869,0.308763524215888,0.722989671347856
"beta_nadults_ba",0.00423003999501651,0.821231311904571,0.0051508508427502,0.182448717059585,0.0231848163318958
"beta_nadults_bp",0.0221283583509245,0.219124386061481,0.100985375241238,0.0831945936114144,0.265983129315851
"beta_nadults_bo",0.42156531275055,1.45643529647964,0.289450079773209,1.3627794619912,0.3093422850199
"lambda_alone",0.216896111327952,41.8824820582735,0.00517868332221027,8.41025486409687,0.0257894813929926
"lambda_others",0.863707620660522,7.59214569891615,0.113763309466496,7.21038406186332,0.119786631786896
"lambda_parent",0.488619574622387,3.03668270055315,0.160905706260777,0.159962061123143,3.05459664117627
