"asc_dp","asc_do","asc_wa","asc_wp","asc_wo","asc_ba","asc_bp","asc_bo","beta_nadults_dp","beta_nadults_do","beta_nadults_wa","beta_nadults_wp","beta_nadults_wo","beta_nadults_ba","beta_nadults_bp","beta_nadults_bo","lambda_alone","lambda_others","lambda_parent","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-22129.4168865546
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-22129.4168865546
0.305711905704811,-0.0832159577403218,0,0.0397279935423285,-0.046479974873364,-0.0597919675055891,-0.0695839608088136,-0.0778399610426277,-0.165479688439518,0.607512357411906,0,0.0773363232146949,-0.0896396820899099,-0.119271690724418,-0.138663687044755,-0.153447688790038,0.952644145349041,0.771998469019309,1.30305867060088,-15514.5146936539
0.433657149714465,-0.189835064911329,0,0.0903010956111147,0.0476653956068612,-0.10321640452928,-0.256511925834922,-0.154747535759376,-0.35269508512383,0.672289426384872,0,0.185706569747807,0.139570395552655,-0.174127432096651,-0.484392872627381,-0.27244497723305,0.984719123177373,0.637718978551725,0.884930041769887,-14824.8340129677
0.446559155057942,-0.213015435129884,0,0.130864009795194,0.0405550561289248,-0.119048601147813,-0.285405664441287,-0.170268970276979,-0.390762736984383,0.629009586137447,0,0.273277784615051,0.137943317499087,-0.19419538050041,-0.533146546272252,-0.29164909153073,0.98772759553757,0.589421332643115,0.854926353143973,-14680.3759979008
0.577915286071496,-0.265761162874336,0,0.171526126748447,-0.0971839631307676,-0.186999353418242,-0.327515238918386,-0.18958039984645,-0.458513907831383,0.557439909812496,0,0.384886519997052,-0.0833379798112958,-0.270016932664099,-0.5762647923194,-0.27054355135817,0.983955691873841,0.474271056973405,0.619496264862048,-14616.8451692912
0.676498342246907,-0.309987262565504,0,0.144055145935586,-0.126952727154999,-0.245230754705726,-0.317157616650207,-0.232904719588471,-0.514828097747039,0.464949071102788,0,0.353906334019238,-0.0970421248082785,-0.332295366780662,-0.525729767496061,-0.301944960531767,0.960261543507272,0.378546622958825,0.575150365852398,-14542.7193056076
1.09395769622356,-0.440635709387821,0,0.126294561009374,-0.205506686198733,-0.40445970646994,-0.419509777429603,-0.343531097860285,-0.641159835499047,0.195198873215471,0,0.269773713151015,-0.111947970798524,-0.413403298192072,-0.597046720130077,-0.220131380376788,0.867735242112891,0.543603893761207,0.637100701476644,-14505.0252276055
1.91905069652243,-0.665227790410044,0,0.219995919742224,-0.420692163066255,-0.52431059427312,-0.598694604897666,-0.765343947766731,-0.7881161619191,-0.293342541297461,0,0.0833428676265836,-0.204010990816943,-0.139631224204944,-0.651475941944388,-0.399555569678978,0.941648296939565,0.83451002034717,0.726821845231552,-14504.9840992843
2.21045226722753,-0.751130580295213,0,0.496927541892442,-0.504579134153808,-0.636970852835062,-0.618666080491766,-0.988965396758243,-0.774937541343332,-0.382336693089247,0,0.0557640739172168,-0.153035040075153,-0.120801539912234,-0.507793950191348,-0.488415904963851,0.8533864767012,1.03979901973366,0.673516052358925,-14466.1486972417
