"asc_dp_a","asc_do_a","asc_wa_a","asc_wp_a","asc_wo_a","asc_ba_a","asc_bp_a","asc_bo_a","asc_dp_b","asc_do_b","asc_wa_b","asc_wp_b","asc_wo_b","asc_ba_b","asc_bp_b","asc_bo_b","delta_a","delta_b","gamma_female_a","gamma_female_b","beta_nadults_dp_a","beta_nadults_do_a","beta_nadults_wa_a","beta_nadults_wp_a","beta_nadults_wo_a","beta_nadults_ba_a","beta_nadults_bp_a","beta_nadults_bo_a","beta_nadults_dp_b","beta_nadults_do_b","beta_nadults_wa_b","beta_nadults_wp_b","beta_nadults_wo_b","beta_nadults_ba_b","beta_nadults_bp_b","beta_nadults_bo_b","lambda_alone","lambda_others","lambda_parent","lambda_walk","lambda_drive","lambda_bike","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-22129.4168865546
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,-22129.4168865546
0.764279541326687,-0.208040749421343,0,0.0993193406611681,-0.116200721822679,-0.149480731924996,-0.173960740212351,-0.194600746035576,0.764279541326687,-0.208040749421343,0,0.0993193406611681,-0.116200721822679,-0.149480731924996,-0.173960740212351,-0.194600746035576,0,0,0,0,-0.413699743803591,1.51877961005084,0,0.193340047262609,-0.224099816987291,-0.298179782694206,-0.346659764181823,-0.3836197569035,-0.413699743803591,1.51877961005084,0,0.193340047262609,-0.224099816987291,-0.298179782694206,-0.346659764181823,-0.3836197569035,0.881608268478885,0.429995915852487,1.75764671899378,0.958032857393846,1.38555505685508,0.430874836398288,-17870.5286565324
0.739890821619821,-0.294704093672308,0,0.236654745663858,-0.0892913248104233,-0.160211956943672,-0.250353725517851,-0.255207692964535,0.737775621423501,-0.302575992117247,0,0.182275901249415,-0.0805831120945565,-0.138889125043705,-0.255273107486522,-0.249615051315046,0,-0.0746687197286385,0,-0.0375180760020903,-0.584307699174723,1.40605858097104,0,0.485639895311012,-0.158619279011136,-0.314867531027326,-0.487328813441251,-0.496125208344266,-0.589885678294995,1.4256774152766,0,0.355017675296405,-0.139403270581603,-0.276355546374669,-0.506954000466619,-0.481177605388437,0.925630937682359,0.253443679740643,2.13766084719952,1.26944278815986,1.42054972627764,0.280827051961802,-16508.582982835
0.918083568795838,-0.414422873133777,0,0.328199591278425,-0.116205755069979,-0.183893999118921,-0.403075152443926,-0.334370847788188,0.560002943395347,-0.470328444692017,0,0.311698640871143,-0.00574922413694136,-0.159134903602586,-0.398041323040779,-0.234281796666105,0,0.0672036888856266,0,0.0110364143019716,-0.819382222318302,1.66370946700942,0,0.697228686806903,-0.200119856299652,-0.355823236279472,-0.769679544936977,-0.64180125027714,-0.902245534590197,0.935698850951722,0,0.635306988935148,0.0513137512191252,-0.344865344803056,-0.78464296408886,-0.397329090652292,0.984070935726998,0.0279474009619202,2.3953486371421,1.92889091566264,1.46487185038867,0.164045916289021,-14953.2380678174
1.12251169714343,-0.562485110767402,0,0.310832645228279,-0.098471125406997,-0.137881095825766,-0.574828833327191,-0.439117504605183,0.591313869857337,-0.696095090847384,0,-0.0508159382253482,-0.150112696721611,0.171908610515816,-0.544635665080232,-0.161781390454633,0,0.134570737228052,0,-0.117055256130209,-1.11093205786346,1.86210571205693,0,0.746318555038961,-0.137439583858706,-0.260765659534425,-1.04494727416676,-0.83690352923788,-1.31089165175288,0.532747846722015,0,0.0073979105745865,-0.0917358055428983,0.183953822108305,-1.07083689088298,-0.0286851724610511,1.1445848219766,-0.276588386430992,2.71185135666625,2.2012760607639,1.38535969926648,0.258417862750391,-14363.7837249244
1.1470338174361,-0.583686615063297,0,0.310593219102506,-0.0940144077416499,-0.132388463946433,-0.59928206693752,-0.453803282449737,0.605200452866543,-0.727557840785519,0,-0.0946763574667913,-0.174623404353905,0.192336052141186,-0.565573496987865,-0.13587334704201,0,0.118743503288913,0,-0.151062147954598,-1.1525835819258,1.8780925179362,0,0.759189196258891,-0.124680979625271,-0.248940252598894,-1.08338640585583,-0.864062099106873,-1.36745075333716,0.491852313455152,0,-0.0659398954189298,-0.118618084626455,0.203844761787029,-1.11175230053485,0.0561803762774357,1.16657105725039,-0.319229749896022,2.76085386644066,2.23458375280365,1.37473908710025,0.325817294175165,-14269.1317206454
1.17572878262007,-0.599884386853868,0,0.287602508363218,-0.0885119871600156,-0.123459133093742,-0.627805712404298,-0.461520678619111,0.633614248073928,-0.757571951311099,0,-0.135822449946942,-0.215762494709629,0.197958372382563,-0.58582891343393,-0.118737726842763,0,0.0251150140799493,0,-0.2491601263159,-1.18385384657999,1.88151193539088,0,0.737300130007511,-0.110100609699167,-0.229136807723255,-1.12270851375396,-0.876891811363739,-1.41830313079155,0.439327950594764,0,-0.121922801243985,-0.162068300959244,0.176779664322512,-1.15070790250245,0.138174702478534,1.19383216157705,-0.340911700240568,2.75003988532251,2.27552781242337,1.35182741780619,0.266726421837196,-14172.7666282018
1.30873783162747,-0.622277039231513,0,0.232637310051995,-0.0678618730500159,-0.144761079647314,-0.661880974932823,-0.483456086841885,0.636080288060947,-0.748831964565231,0,-0.162387718158838,-0.304843309036671,0.286973174936278,-0.588831625816833,-0.194443465681376,0,-0.165187711459629,0,-0.457986999677702,-1.2259244664955,1.9598778337491,0,0.729397301342799,-0.0662105194188748,-0.263522507714902,-1.12058747959091,-0.918995652252174,-1.3859840872539,0.195276767562898,0,-0.101158255265076,-0.232238844416902,0.159631727161319,-1.15940907061298,0.162763050372844,1.17545042540829,-0.4068468153609,2.81337475512794,2.16584163662267,1.45175286764496,0.271230005023936,-14095.2185381996
1.56172988114161,-0.660526868210826,0,0.114673493034546,0.00914747117043078,-0.178635751971178,-0.708761763685891,-0.538096952044125,0.59950906364285,-0.705080492203589,0,-0.343543005691679,-0.375240471881738,0.3824609393366,-0.549268599012067,-0.377881522916295,0,-0.398523565782639,0,-0.714391748798416,-1.29882943909149,2.07182952991278,0,0.70890317142193,0.0957552160685135,-0.317283009716515,-1.04781514395722,-1.02883369054226,-1.26846120808628,-0.232444330670334,0,-0.319708363559558,-0.171957018337816,-0.141193000769918,-1.09167645211725,0.169876221685446,1.12903463223358,-0.576596669901724,3.02063691908448,2.0093185641184,1.63214759577078,0.191713996232604,-14063.3283433555
