"","asc_dp_a","asc_do_a","asc_wp_a","asc_wo_a","asc_ba_a","asc_bp_a","asc_bo_a","asc_dp_b","asc_do_b","asc_wp_b","asc_wo_b","asc_ba_b","asc_bp_b","asc_bo_b","delta_b","gamma_female_b","beta_nadults_dp_a","beta_nadults_do_a","beta_nadults_wp_a","beta_nadults_wo_a","beta_nadults_ba_a","beta_nadults_bp_a","beta_nadults_bo_a","beta_nadults_dp_b","beta_nadults_do_b","beta_nadults_wp_b","beta_nadults_wo_b","beta_nadults_ba_b","beta_nadults_bp_b","beta_nadults_bo_b","lambda_alone","lambda_others","lambda_parent","lambda_walk","lambda_drive","lambda_bike"
"asc_dp_a",-3978552.06930664,-9.21413887398181e-10,4084953.44913288,-114203.20141744,1.11292162612259,-2.30561223677767e-09,-3.59951746092976e-10,-1743.50659989608,-203.558721930864,2916.21857375711,148.314508866009,-1811.84616789149,-1348.50369080996,-541.171799016064,11420.8446835413,4765.78560472795,-9.73909301795327e-10,-14589372.6749669,8134464.19580352,519762.850120235,1.12934536147074,-0.0869033809985284,-7.79650529714346e-10,-386.9459876486,-3384.68957112565,5256.72480709586,290.994582296929,-3194.06082097482,-2441.89342106954,-1012.81985466051,0.0841343084813131,762784366.889287,4859402.04624329,5364.70193595939,-695.24046457264,-3684.62505335697
"asc_do_a",-9.21413887398181e-10,0,-3.63325971718832e-10,1.01753033658221e-12,-4.83054651557813e-17,1.32115125382919e-24,0,3.10671901911519e-15,6.93843378009002e-17,1.30694730997744e-14,-9.02744358134975e-16,-1.44126340054808e-14,-3.86329370338347e-15,-5.69341486717694e-15,1.56691069442841e-13,-1.20264952320183e-14,0,6.43737501290609e-10,-4.76936128218322e-11,-5.83309267594782e-10,-1.74604659436792e-16,-2.22033973993289e-17,0,1.85649896813644e-15,1.72321944899837e-15,1.5112859694869e-15,-3.3956961989195e-15,1.24619816190491e-13,-2.07606413339438e-14,1.98305706740532e-15,-3.62462647804677e-18,2.26539393040847e-07,4.77663402959925e-12,-1.31340455685643e-13,-1.03342835029677e-14,-7.38447690452171e-14
"asc_wp_a",4084953.44913288,-3.63325971718832e-10,-4554733.91031643,290906.606616896,-1.08446218347485,-2.24478735646063e-09,-1.41933847220826e-10,2049.78084462147,232.153720437267,-3403.15758968309,-158.606929420823,2057.50649205103,1507.28878041552,592.773991059882,-12892.2925721019,-5512.33467856226,-3.84025624402038e-10,8331296.530633,-7219284.20800101,1698884.43501108,-1.09158652991009,-0.0879757371003323,-3.0742676031228e-10,415.628419828493,3694.90865297037,-5735.80185510181,-299.519637872392,3439.44953570099,2599.43456326696,1064.36646158543,-0.08200972911693,2477946044.00111,-4627523.29191367,-6012.88888781805,800.03523444701,4114.32648320786
"asc_wo_a",-114203.20141744,1.01753033658221e-12,290906.606616896,-390602.201479943,0.3161046049224,3.74784332076305e-12,3.97499784151902e-13,-193.410948533319,-21.2754705855556,417.488282632627,8.34854655907404,-246.467922605659,-158.156126607853,-52.5644592218523,1468.5553438505,647.001234923195,1.07550176224781e-12,82463.1677971801,1279610.58817767,1720376.67556132,0.313591002403025,-1.059840137428e-05,8.60979063552918e-13,-21.6756035124984,-193.307132803285,423.594119687491,6.60594986141409,-250.1234229154,-161.430790289554,-53.3867678960639,0.0244493456095053,2588520446.42755,-96436.0264221692,536.664190283422,-72.3510330518545,-436.925270114115
"asc_ba_a",1.11292162612259,-4.83054651557813e-17,-1.08446218347485,0.3161046049224,-0.213324432693331,-1.19407394656512e-17,-1.88706039343023e-17,0.00246432697832685,1.74691219033769e-05,0.00184844869217015,1.91362949917022e-05,-0.00244453463682675,-0.00158986724586279,-0.000526513266025504,0.014649810338257,0.00609987124587237,-5.10575567464128e-17,0.669525873001111,-4.10124651783063,4.81085459606725,-0.224984979463992,-3.78443953309453e-17,-4.08734684943247e-17,4.72161672395432e-05,0.00259422828861252,0.00190385297656605,2.04524279491986e-05,-0.00253161588006373,-0.00164983629219576,-0.000561512715090059,-0.0230086352059101,7028.54713742715,-0.501688100958561,0.00185439808534094,0.000495124991309567,-0.00432364729914018
"asc_bp_a",-2.30561223677767e-09,1.32115125382919e-24,-2.24478735646063e-09,3.74784332076305e-12,-1.19407394656512e-17,1.60418754314588e-09,5.16109760415663e-25,5.20031078733561e-16,-3.54494910295437e-14,-1.40844167743241e-13,3.23955816562976e-14,-2.4130057508936e-15,-6.46798652036679e-16,-2.85025674701268e-15,-1.05144330074039e-12,-4.99630722410322e-13,1.39642077548455e-24,-1.04357689887266e-08,-1.05257465636356e-08,-9.56655149960241e-11,-2.92355915319974e-17,0.0705046260139085,1.11788664026894e-24,-1.60066266766477e-09,-4.66785094242038e-15,-1.28442206965489e-12,2.29492296566084e-13,2.08642367703441e-14,-3.47601754692819e-15,-2.10731832240306e-14,-6.06910053762436e-19,5.83501203106325e-09,5.31159191281014e-07,-8.26170607924858e-13,-6.94264875727486e-15,-1.46999345441562e-14
"asc_bo_a",-3.59951746092976e-10,0,-1.41933847220826e-10,3.97499784151902e-13,-1.88706039343023e-17,5.16109760415663e-25,0,1.21364454220291e-15,2.71050978116484e-17,5.10560967999174e-15,-3.52658465897253e-16,-5.63031754461708e-15,-1.50920160117138e-15,-2.22414123631114e-15,6.1211606222246e-14,-4.69816877881842e-15,0,2.51477040648239e-10,-1.86315828831025e-11,-2.27870658619912e-10,-6.8209577584848e-17,-8.67379119458716e-18,0,7.25244164799245e-16,6.7317831655417e-16,5.90386178244725e-16,-1.32653392001043e-15,4.86829220278164e-14,-8.11017632832113e-15,7.7468428007977e-16,-1.41596588411735e-18,8.84979607960454e-08,1.86599939822523e-12,-5.13083501380573e-14,-4.03710367554463e-15,-2.8847572107595e-14
"asc_dp_b",-1743.50659989608,3.10671901911519e-15,2049.78084462147,-193.410948533319,0.00246432697832685,5.20031078733561e-16,1.21364454220291e-15,-13.5829058086322,-5.84771478093829,0.556448655249423,0.313801781430084,5.72352899821649,4.25845890925154,1.70562850467036,84.160848053046,32.7449251573365,3.28371711362456e-15,-3549.35795905473,3971.79220679098,-517.528119203717,0.00259733099820854,-6.32670407081837e-08,2.62873738072941e-15,-11.2511120858956,-23.8046748383097,0.639811833116333,0.609263481210675,10.1017237486686,7.69517470899626,3.1686988287867,0.000174851423518873,-756733.782010154,2448.73407040321,4.01846322315229,-10.8569021629243,11.6402939781146
"asc_do_b",-203.558721930864,6.93843378009002e-17,232.153720437267,-21.2754705855556,1.74691219033769e-05,-3.54494910295437e-14,2.71050978116484e-17,-5.84771478093829,-12.3952477730391,2.36519964880722,0.456744673858461,3.59924670822013,2.72169542815084,1.11076055215067,3.04188044631762,1.13505891436553,7.33373491624012e-17,-392.14312218651,468.769235279321,-91.7644888244571,3.84896378952649e-05,-7.85991609207942e-09,5.87092689400438e-17,-23.4939150856527,-11.2511567919772,4.15533015105825,0.942335074271428,6.68052704051094,5.14550551187095,2.1463658274175,-4.81776092384576e-06,-134245.067701242,268.478395209094,7.30365436867922,-24.4920013807066,7.43994002635658
"asc_wp_b",2916.21857375711,1.30694730997744e-14,-3403.15758968309,417.488282632627,0.00184844869217015,-1.40844167743241e-13,5.10560967999174e-15,0.556448655249423,2.36519964880722,-27.987996352238,-4.11692004838745,51.7045796909483,38.2671001464919,15.2444788122432,40.8264980491561,17.2591358759327,1.38140759494909e-14,5229.44899785654,-7086.94796390921,2216.71687814643,0.00190429145597451,-2.26348088806977e-05,1.10586803223676e-14,4.15533776097355,0.639810669019555,-46.1955262575793,-7.80789913047156,89.6717187400145,68.1512157776053,28.0294212951991,0.00013441436193376,3239243.91871919,-3725.05922577442,-75.9062048419903,4.25193984398415,104.605148936062
