mode_ind,sc2_y2017,av_par_car,av_par_act,av_kid_car,av_kid_act,sc2_log_inc_k,sc2_veh_per_driver,sc2_non_work_dad,sc2_non_work_mom,sc2_age,sc2_female,sc2_has_lil_sib,sc2_has_big_sib,log_distance,sc2_log_density
28,0,1,1,1,1,0.32445435716167786,0.01,0,0,1.3,0.1,0.1,0.1,-1.504077396876274,0.57037824746562
28,0,1,1,1,1,0.32445435716167786,0.01,0,0,1.1,0,0.1,0.1,-1.504077396876274,0.57037824746562
28,0,1,1,1,1,0.32445435716167786,0.01,0,0,0.8,0.1,0,0.1,-1.504077396876274,0.57037824746562
28,0,1,1,1,1,0.32445435716167786,0.01,0,0,0.8,0,0,0.1,-1.504077396876274,0.57037824746562
28,0,1,1,1,1,0.4630837932736669,0.023333333333333334,0,0,1.2,0.1,0.1,0,-1.504077396876274,0.885366542803745
28,0,1,1,1,1,0.4630837932736669,0.023333333333333334,0,0,1,0.1,0,0.1,-1.504077396876274,0.885366542803745
17,0,1,1,1,1,0.44813061987657055,0.01,0,0,0.7,0,0,0.1,-2.197224577436219,0.885366542803745
17,0,1,1,1,1,0.40918414320039825,0.02,0,0.1,1.1,0.1,0.1,0,0,0.885366542803745
17,0,1,1,1,1,0.40918414320039825,0.02,0,0.1,0.9,0.1,0.1,0.1,0,0.885366542803745
27,0,1,1,1,1,0.5072670685015709,0.015,0,0,1,0,0,0.1,0,0.7313220387090301
17,0,1,1,1,1,0.4630837932736669,0.01,0,0,1.2,0.1,0,0.1,0,0.9740968623038354
17,0,1,1,1,1,0.3991757973447,0.01,0,0,0.8,0.1,0,0.1,0,0.7313220387090301
17,0,1,1,1,1,0.3991757973447,0.01,0,0,1,0.1,0.1,0,0,0.7313220387090301
17,0,1,1,1,1,0.4343155860284888,0.01,0,0.1,0.8,0.1,0.1,0,0,0.6620073206530356
17,0,1,1,1,1,0.40918414320039825,0.01,0,0,1.3,0.1,0.1,0,0,0.885366542803745
17,0,1,1,1,1,0.40918414320039825,0.01,0,0,1.2,0.1,0,0.1,0,0.885366542803745
17,0,1,1,1,1,0.4630837932736669,0.015,0,0,0.8,0.1,0,0.1,0,0.8006367567650245
17,0,1,1,1,1,0.44813061987657055,0.015,0.1,0,1.4,0,0,0,0,0.885366542803745
28,0,1,1,1,1,0.26567569067146596,0.01,0,0.1,1.3,0.1,0.1,0,-1.504077396876274,0.57037824746562
28,0,1,1,1,1,0.26567569067146596,0.01,0,0.1,1.1,0.1,0.1,0.1,-1.504077396876274,0.57037824746562
17,0,1,1,1,1,0.4630837932736669,0.01,0,0,0.9,0.1,0,0.1,-0.5877866648221189,0.885366542803745
28,0,1,1,1,1,0.4630837932736669,0.01,0,0,0.9,0,0,0.1,0,0.57037824746562
28,0,1,1,1,1,0.4630837932736669,0.01,0,0,1.1,0.1,0.1,0,0,0.57037824746562
