mode,ind,mode_ind,income_k,log_income_k,veh_per_driver,n_adults,non_work_mom,non_work_dad,age,female,has_lil_sib,has_big_sib,distance,log_distance,density,log_density,av_motor,av_active,av_with_parent,av_no_parent,has_big_sib_scaled,has_lil_sib_scaled,log_density_scaled,log_income_k_scaled,non_work_dad_scaled,veh_per_driver_scaled
7,10,17,20,2.995732273553991,1,1,0,0,10,0,0,0,0.983099,-0.017045451800295628,2702.702702702703,7.902007552326004,1,1,1,1,0,0,0.7902007552326004,0.029957322735539908,0,0.01
8,10,18,30,3.4011973816621555,1,1,0,0,7,0,1,0,0.907476,-0.09708815947383205,19.305019305019307,2.9603651297167,1,1,1,1,0,0.1,0.29603651297167,0.034011973816621556,0,0.01
8,20,28,250,5.521460917862246,1,1,0,0,11,1,1,0,0.733704,-0.3096496014575048,1158.3011583011585,7.0547096919388,1,1,1,1,0,0.1,0.7054709691938801,0.05521460917862246,0,0.01
7,10,17,250,5.521460917862246,2,1,0,0,13,0,1,0,0.677389,-0.38950957728950947,1158.3011583011585,7.0547096919388,1,1,1,1,0,0.1,0.7054709691938801,0.05521460917862246,0,0.02
7,10,17,62.5,4.135166556742356,1,1,0,0,8,0,1,0,1.6460069999999998,0.49835235497973546,19.305019305019307,2.9603651297167,1,1,1,1,0,0.1,0.29603651297167,0.04135166556742356,0,0.01
8,20,28,87.5,4.471638793363569,1,4,1,0,14,1,0,0,0.22204200000000002,-1.5048887258146861,2702.702702702703,7.902007552326004,1,1,1,1,0,0,0.7902007552326004,0.04471638793363569,0,0.01
7,10,17,30,3.4011973816621555,1,1,0,0,10,0,1,0,1.637962,0.4934527861385771,1158.3011583011585,7.0547096919388,1,1,1,1,0,0.1,0.7054709691938801,0.034011973816621556,0,0.01
7,10,17,5,1.6094379124341003,1,2,0,0,12,0,1,0,1.580038,0.45744889738257505,2702.702702702703,7.902007552326004,1,1,1,1,0,0.1,0.7902007552326004,0.016094379124341,0,0.01
8,20,28,62.5,4.135166556742356,1,1,0,0,9,0,1,0,0.551887,-0.594411963805951,2702.702702702703,7.902007552326004,1,1,1,1,0,0.1,0.7902007552326004,0.04135166556742356,0,0.01
7,10,17,12.5,2.5257286443082556,1,1,0,0,12,1,0,0,1.922755,0.6537590533937201,2702.702702702703,7.902007552326004,1,1,1,1,0,0,0.7902007552326004,0.025257286443082557,0,0.01
8,20,28,62.5,4.135166556742356,1,1,0,0,11,1,1,0,0.913912,-0.0900209922507396,579.1505791505792,6.361562511378855,1,1,1,1,0,0.1,0.6361562511378855,0.04135166556742356,0,0.01
7,10,17,12.5,2.5257286443082556,1,1,1,0,11,1,0,0,1.201923,0.18392277416092648,2702.702702702703,7.902007552326004,1,1,1,1,0,0,0.7902007552326004,0.025257286443082557,0,0.01
7,10,17,62.5,4.135166556742356,1,1,1,0,8,1,0,0,0.40225,-0.9106814931096445,2702.702702702703,7.902007552326004,1,1,1,1,0,0,0.7902007552326004,0.04135166556742356,0,0.01
8,20,28,250,5.521460917862246,2,1,0,0,9,0,1,0,0.456956,-0.783168172810685,2702.702702702703,7.902007552326004,1,1,1,1,0,0.1,0.7902007552326004,0.05521460917862246,0,0.02
7,10,17,30,3.4011973816621555,1,1,0,0,8,0,0,1,0.44730200000000003,-0.8045212972812538,2702.702702702703,7.902007552326004,1,1,1,1,0.01,0,0.7902007552326004,0.034011973816621556,0,0.01
7,10,17,5,1.6094379124341003,1,1,0,0,11,1,1,0,1.924364,0.6545955235386861,2702.702702702703,7.902007552326004,1,1,1,1,0,0.1,0.7902007552326004,0.016094379124341,0,0.01
7,10,17,5,1.6094379124341003,1,1,0,0,8,0,0,0,1.169743,0.15678406656162844,2702.702702702703,7.902007552326004,1,1,1,1,0,0,0.7902007552326004,0.016094379124341,0,0.01
8,20,28,62.5,4.135166556742356,1,1,0,0,11,1,0,0,0.9589639999999999,-0.04190174390654121,1158.3011583011585,7.0547096919388,1,1,1,1,0,0,0.7054709691938801,0.04135166556742356,0,0.01
7,10,17,112.5,4.722953221644475,1,1,1,0,7,1,1,0,0.870469,-0.13872313212540932,1158.3011583011585,7.0547096919388,1,1,1,1,0,0.1,0.7054709691938801,0.04722953221644475,0,0.01
7,10,17,87.5,4.471638793363569,1,1,0,0,9,1,0,0,1.626699,0.4865528080485805,115.83011583011583,4.7521245989447545,1,1,1,1,0,0,0.47521245989447547,0.04471638793363569,0,0.01
8,10,18,62.5,4.135166556742356,1,1,0,0,10,1,1,0,1.5269409999999999,0.42326638763803687,1158.3011583011585,7.0547096919388,1,1,1,1,0,0.1,0.7054709691938801,0.04135166556742356,0,0.01
7,10,17,137.5,4.923623917106626,1,2,0,0,7,1,0,0,0.622683,-0.4737177179421091,2702.702702702703,7.902007552326004,1,1,1,1,0,0,0.7902007552326004,0.04923623917106626,0,0.01
7,10,17,62.5,4.135166556742356,2,1,0,0,8,0,0,0,1.6991040000000002,0.530101053294316,1158.3011583011585,7.0547096919388,1,1,1,1,0,0,0.7054709691938801,0.04135166556742356,0,0.02
8,20,28,30,3.4011973816621555,1,1,0,0,13,0,0,0,1.1166459999999998,0.11032954953491343,6563.706563706564,8.789310747326907,1,1,1,1,0,0,0.8789310747326906,0.034011973816621556,0,0.01
8,20,28,5,1.6094379124341003,0,1,0,0,13,1,0,0,0.725659,-0.3206750714692125,2702.702702702703,7.902007552326004,1,1,1,1,0,0,0.7902007552326004,0.016094379124341,0,0
7,10,17,20,2.995732273553991,1,1,1,0,10,0,1,0,0.555105,-0.58859799394053125,2702.702702702703,7.902007552326004,1,1,1,1,0,0.1,0.7902007552326004,0.029957322735539908,0,0.01
7,10,17,62.5,4.135166556742356,1,1,0,0,11,0,0,0,0.9010400000000001,-0.10420562724269591,1158.3011583011585,7.0547096919388,1,1,1,1,0,0,0.7054709691938801,0.04135166556742356,0,0.01
8,20,28,62.5,4.135166556742356,1.5,2,0,0,10,1,0,0,0.521316,-0.6513988951795615,6563.706563706564,8.789310747326907,1,1,1,1,0,0,0.8789310747326906,0.04135166556742356,0,0.015
8,10,18,5,1.6094379124341003,0,1,1,0,10,1,0,0,0.08527699999999999,-2.461850497419769,2702.702702702703,7.902007552326004,1,1,1,1,0,0,0.7902007552326004,0.016094379124341,0,0
8,20,28,5,1.6094379124341003,0,2,1,0,14,1,0,0,0.9300019999999999,-0.07256854229951355,289.5752895752896,5.66841533081891,1,1,1,1,0,0,0.566841533081891,0.016094379124341,0,0
7,20,27,250,5.521460917862246,1,1,0,1,10,1,0,0,1.9790699999999999,0.6826270373945722,1158.3011583011585,7.0547096919388,1,1,1,1,0,0,0.7054709691938801,0.05521460917862246,0.1,0.01
7,20,27,20,2.995732273553991,1,1,0,0,13,0,0,0,1.835869,0.6075179388901847,1158.3011583011585,7.0547096919388,1,1,1,1,0,0,0.7054709691938801,0.029957322735539908,0,0.01
8,10,18,87.5,4.471638793363569,0,1,0,0,8,0,0,0,0.310537,-1.1694522220670054,11583.011583011583,9.357294784932845,1,1,1,1,0,0,0.9357294784932846,0.04471638793363569,0,0
7,10,17,62.5,4.135166556742356,1,1,0,0,11,1,0,0,0.992753,-0.007273387066503084,1158.3011583011585,7.0547096919388,1,1,1,1,0,0,0.7054709691938801,0.04135166556742356,0,0.01
8,20,28,5,1.6094379124341003,0,1,0,0,14,0,0,0,0.633946,-0.45579150167395704,2702.702702702703,7.902007552326004,1,1,1,1,0,0,0.7902007552326004,0.016094379124341,0,0
8,20,28,5,1.6094379124341003,1,1,0,0,13,0,0,0,1.0715940000000002,0.06914725956849839,2702.702702702703,7.902007552326004,1,1,1,1,0,0,0.7902007552326004,0.016094379124341,0,0.01
7,10,17,12.5,2.5257286443082556,1,1,1,0,11,0,0,0,1.7602460000000002,0.5654535720100358,115.83011583011583,4.7521245989447545,1,1,1,1,0,0,0.47521245989447547,0.025257286443082557,0,0.01
8,20,28,112.5,4.722953221644475,1,1,0,0,10,0,1,0,0.574413,-0.5544066291922519,115.83011583011583,4.7521245989447545,1,1,1,1,0,0.1,0.47521245989447547,0.04722953221644475,0,0.01
8,10,18,5,1.6094379124341003,1,1,1,0,11,0,0,0,0.695088,-0.36371682272778055,2702.702702702703,7.902007552326004,1,1,1,1,0,0,0.7902007552326004,0.016094379124341,0,0.01
8,20,28,42.5,3.7495040759303713,1,1,0,0,11,0,1,0,1.057113,0.05554160751271959,2702.702702702703,7.902007552326004,1,1,1,1,0,0.1,0.7902007552326004,0.03749504075930371,0,0.01
7,10,17,42.5,3.7495040759303713,1,1,0,0,11,0,1,0,0.532579,-0.630024035594828,1158.3011583011585,7.0547096919388,1,1,1,1,0,0.1,0.7054709691938801,0.03749504075930371,0,0.01
7,10,17,42.5,3.7495040759303713,1,1,0,0,8,1,1,0,1.0957290000000002,0.09141989517762163,579.1505791505792,6.361562511378855,1,1,1,1,0,0.1,0.6361562511378855,0.03749504075930371,0,0.01
7,10,17,62.5,4.135166556742356,1,1,0,0,13,0,1,0,1.7425469999999998,0.5553478360290997,579.1505791505792,6.361562511378855,1,1,1,1,0,0.1,0.6361562511378855,0.04135166556742356,0,0.01
8,20,28,87.5,4.471638793363569,1,1,0,0,11,1,0,0,1.650834,0.5012806147588239,2702.702702702703,7.902007552326004,1,1,1,1,0,0,0.7902007552326004,0.04471638793363569,0,0.01
7,10,17,30,3.4011973816621555,1,1,0,0,12,1,0,0,0.823808,-0.19381778593238314,2702.702702702703,7.902007552326004,1,1,1,1,0,0,0.7902007552326004,0.034011973816621556,0,0.01
8,20,28,20,2.995732273553991,0,1,1,0,10,1,1,0,0.976663,-0.023613619912392685,6563.706563706564,8.789310747326907,1,1,1,1,0,0.1,0.8789310747326906,0.029957322735539908,0,0
7,10,17,20,2.995732273553991,2,1,1,0,10,0,0,0,1.007234,0.007207960128207594,1158.3011583011585,7.0547096919388,1,1,1,1,0,0,0.7054709691938801,0.029957322735539908,0,0.02
7,20,27,175,5.1647859739235145,1,1,0,0,8,0,0,0,0.9460919999999999,-0.055415463073264046,1158.3011583011585,7.0547096919388,1,1,1,1,0,0,0.7054709691938801,0.05164785973923514,0,0.01
8,20,28,12.5,2.5257286443082556,0,1,1,0,11,0,0,0,0.067578,-2.6944727926885226,289.5752895752896,5.66841533081891,1,1,1,1,0,0,0.566841533081891,0.025257286443082557,0,0
7,10,17,175,5.1647859739235145,1,1,0,0,9,1,1,0,1.155262,0.14432715807633328,2702.702702702703,7.902007552326004,1,1,1,1,0,0.1,0.7902007552326004,0.05164785973923514,0,0.01
7,10,17,87.5,4.471638793363569,1,1,0,0,8,1,0,0,0.6757799999999999,-0.391887699694477,1158.3011583011585,7.0547096919388,1,1,1,1,0,0,0.7054709691938801,0.04471638793363569,0,0.01
8,20,28,175,5.1647859739235145,0,1,1,0,13,0,1,0,0.590503,-0.5267805629173207,11583.011583011583,9.357294784932845,1,1,1,1,0,0.1,0.9357294784932846,0.05164785973923514,0,0
7,10,17,42.5,3.7495040759303713,2,1,0,0,14,1,1,0,0.696697,-0.36140468296940104,115.83011583011583,4.7521245989447545,1,1,1,1,0,0.1,0.47521245989447547,0.03749504075930371,0,0.02
7,10,17,175,5.1647859739235145,1,1,0,0,10,0,1,0,1.6170449999999998,0.48060040952128513,2702.702702702703,7.902007552326004,1,1,1,1,0,0.1,0.7902007552326004,0.05164785973923514,0,0.01
7,20,27,42.5,3.7495040759303713,1,1,1,0,11,1,1,0,0.49879,-0.6955701134926989,579.1505791505792,6.361562511378855,1,1,1,1,0,0.1,0.6361562511378855,0.03749504075930371,0,0.01
7,10,17,20,2.995732273553991,1,1,0,0,13,0,1,0,0.902649,-0.10242150544919454,6563.706563706564,8.789310747326907,1,1,1,1,0,0.1,0.8789310747326906,0.029957322735539908,0,0.01
7,10,17,87.5,4.471638793363569,1,2,0,0,12,1,0,0,0.6757799999999999,-0.391887699694477,6563.706563706564,8.789310747326907,1,1,1,1,0,0,0.8789310747326906,0.04471638793363569,0,0.01
8,10,18,30,3.4011973816621555,1,1,1,0,8,0,0,0,0.27353,-1.2963439739216291,6563.706563706564,8.789310747326907,1,1,1,1,0,0,0.8789310747326906,0.034011973816621556,0,0.01
7,10,17,112.5,4.722953221644475,1,1,0,0,9,0,0,0,1.551076,0.43894888363865464,2702.702702702703,7.902007552326004,1,1,1,1,0,0,0.7902007552326004,0.04722953221644475,0,0.01
7,10,17,42.5,3.7495040759303713,1,1,0,0,9,1,1,0,1.185833,0.17044548121744563,579.1505791505792,6.361562511378855,1,1,1,1,0,0.1,0.6361562511378855,0.03749504075930371,0,0.01
7,10,17,20,2.995732273553991,1,1,0,0,8,0,0,0,1.9871150000000002,0.6866838380901867,579.1505791505792,6.361562511378855,1,1,1,1,0,0,0.6361562511378855,0.029957322735539908,0,0.01
7,10,17,87.5,4.471638793363569,2,1,1,0,9,1,1,0,1.189051,0.17315550997631093,115.83011583011583,4.7521245989447545,1,1,1,1,0,0.1,0.47521245989447547,0.04471638793363569,0,0.02
7,10,17,137.5,4.923623917106626,3,1,0,0,13,1,0,0,1.27111,0.23989053448917624,579.1505791505792,6.361562511378855,1,1,1,1,0,0,0.6361562511378855,0.04923623917106626,0,0.03
8,20,28,42.5,3.7495040759303713,1,1,0,0,13,0,0,0,0.513271,-0.6669513081870463,11583.011583011583,9.357294784932845,1,1,1,1,0,0,0.9357294784932846,0.03749504075930371,0,0.01
