"asc_dp","asc_do","asc_wa","asc_wp","asc_wo","asc_ba","asc_bp","asc_bo","beta_age_dp","beta_age_do","beta_age_wa","beta_age_wp","beta_age_wo","beta_age_ba","beta_age_bp","beta_age_bo","beta_female_dp","beta_female_do","beta_female_wa","beta_female_wp","beta_female_wo","beta_female_ba","beta_female_bp","beta_female_bo","beta_distance_dp","beta_distance_do","beta_distance_wa","beta_distance_wp","beta_distance_wo","beta_distance_ba","beta_distance_bp","beta_distance_bo","beta_density_dp","beta_density_do","beta_density_wa","beta_density_wp","beta_density_wo","beta_density_ba","beta_density_bp","beta_density_bo","beta_school_dp","beta_school_do","beta_school_wa","beta_school_wp","beta_school_wo","beta_school_ba","beta_school_bp","beta_school_bo","beta_income_dp","beta_income_do","beta_income_wa","beta_income_wp","beta_income_wo","beta_income_ba","beta_income_bp","beta_income_bo","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22129.4168865546
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22129.4168865546
1.56524495720863e-07,-4.26065703630448e-08,0,2.03407326936722e-08,-2.37977471351624e-08,-3.06134873628617e-08,-3.56269879341126e-08,-3.98540600538254e-08,1.60086831760407e-06,-4.39463874697686e-07,0,1.92270368456841e-07,-2.4338016974926e-07,-3.10063048243523e-07,-3.71109829306603e-07,-4.12757954955101e-07,8.40294127464295e-08,-2.07953803539276e-08,0,1.11206377744675e-08,-1.31932079792023e-08,-1.87309974431992e-08,-1.81084048748017e-08,-1.9943412899971e-08,1.95342299342156e-07,-4.06694408655167e-08,0,-6.98118448257447e-10,-3.08308795690537e-08,-2.95592900514603e-08,-3.4194863319397e-08,-3.89402601718903e-08,0.000321703623648763,-9.64951296696664e-05,0,9.07569104739428e-05,-5.39315219516755e-05,-7.58095389367343e-05,-8.10631729131938e-05,-9.17886833376885e-05,5.1855339050293e-08,-1.38772428035736e-08,0,3.55532419681549e-09,-6.96319735050202e-09,-9.84678089618684e-09,-1.23371472358704e-08,-1.3385723233223e-08,1.54791628700495e-05,-4.2243993947506e-06,0,2.04583933854103e-06,-2.42805763196945e-06,-2.88640003454685e-06,-3.43567363488674e-06,-4.01533955347538e-06,-19100.6403632378
2.53489133152293e-07,-7.29579642407769e-08,0,3.68177518156083e-08,-3.75660595612563e-08,-4.97742535219198e-08,-5.97389156100704e-08,-6.76237271367029e-08,2.58359362413203e-06,-7.52001952474166e-07,0,3.43326416138392e-07,-3.8271146021909e-07,-5.01072149000163e-07,-6.23238265121263e-07,-7.00490960815204e-07,1.39682255546663e-07,-3.56251376431872e-08,0,2.04485452592861e-08,-2.16318001292404e-08,-3.21838209780122e-08,-3.06693587191662e-08,-3.40430856126957e-08,3.35839193618564e-07,-6.91678189849701e-08,0,-7.13530818828301e-09,-5.24261250165539e-08,-4.78246584853994e-08,-5.70025955153326e-08,-6.59611775743371e-08,0.000301780955885685,-0.000130303275391051,0,0.000184905491672792,-5.31713583104142e-05,-9.25514279854368e-05,-0.000102091822903508,-0.000121671464315232,8.20623453011954e-08,-2.31913592481811e-08,0,5.24953584323082e-09,-1.01976484856972e-08,-1.54624380023935e-08,-2.04686580891172e-08,-2.23132706493913e-08,2.51874172762429e-05,-7.2453326960077e-06,0,3.67420917009197e-06,-3.88610539811849e-06,-4.64108973895691e-06,-5.7365006567295e-06,-6.84994124001787e-06,-18842.5876518256
7.31733344502401e-07,-1.94245983859395e-07,0,7.27413851129107e-09,-9.62460968028945e-08,-1.24715811512661e-07,-1.56637123740941e-07,-1.78092322817493e-07,7.4319093987511e-06,-1.99977928018885e-06,0,-5.72178350837549e-08,-9.74560782549735e-07,-1.24117319643451e-06,-1.63885082437662e-06,-1.84561623357372e-06,4.13643879491313e-07,-9.48973253086447e-08,0,1.24932772190003e-08,-5.86854892412295e-08,-8.88010664736694e-08,-8.18415349879466e-08,-9.06269008460214e-08,1.02605079644169e-06,-1.81491848322668e-07,0,-1.47273130522488e-07,-1.49475342255719e-07,-1.18506837833689e-07,-1.47637958285814e-07,-1.72865245340646e-07,0.000279194541237943,-0.000199081595589878,0,0.000156471031642115,-7.13649215275278e-06,-0.000101263664972367,-0.0001253330204837,-0.000176139710940578,2.30928118096539e-07,-5.87420239513057e-08,0,-2.6506587031793e-08,-2.28912659511334e-08,-3.60392191741747e-08,-5.25059933557104e-08,-5.66414874846971e-08,7.2922797565267e-05,-1.92953594256853e-05,0,7.94831762759324e-07,-1.01657832845689e-05,-1.1351201284113e-05,-1.48877492473894e-05,-1.81718904265565e-05,-18782.2484233685
4.4489309022122e-06,-1.02376153758841e-06,0,-2.07596903079239e-07,-7.29017413777177e-07,-7.16753402826163e-07,-8.84947287648904e-07,-9.48585063764417e-07,4.51155175853472e-05,-1.05280796025139e-05,0,-3.01790615977507e-06,-7.40115221639651e-06,-7.09217137340243e-06,-9.27596111606294e-06,-9.83518210581221e-06,2.54283711354096e-06,-5.00152859545296e-07,0,-4.22141803695529e-08,-4.32897859038772e-07,-5.33587904414554e-07,-4.6745124962509e-07,-4.87293506834529e-07,6.3917290948968e-06,-9.41106772250222e-07,0,-1.22216070373812e-06,-1.08090066133069e-06,-6.7760701704366e-07,-8.27340311660693e-07,-9.1551994616295e-07,0.000133962259240761,-0.000405109666107966,0,1.50785585657255e-05,-0.000234788764964081,-0.000185626921444913,-0.000219755553356505,-0.000336365316019288,1.38840552427438e-06,-2.93071594015618e-07,0,-2.68067315742653e-07,-1.87161733789652e-07,-1.99602654873823e-07,-2.92382021356774e-07,-2.90788422707342e-07,0.000443216496892622,-0.000101392077333699,0,-2.00138357249496e-05,-7.66409060089307e-05,-6.44036472745308e-05,-8.34251998261651e-05,-9.71599196159322e-05,-18677.298113898
9.72516115316927e-06,-2.09147813928212e-06,0,-4.85084896391351e-07,-1.53665643589013e-06,-1.59164712020993e-06,-1.92761119527817e-06,-1.97039709517097e-06,9.8602119349818e-05,-2.14990113700636e-05,0,-6.93786324355791e-06,-1.55867863316132e-05,-1.57532474592187e-05,-2.02081490812702e-05,-2.04330320802221e-05,5.56550425618125e-06,-1.02160300166615e-06,0,-1.06453863154594e-07,-9.2004678160588e-07,-1.18227345163028e-06,-1.01923280906863e-06,-1.01521536819002e-06,1.40121699963395e-05,-1.90952400959488e-06,0,-2.72310794754514e-06,-2.31349227789565e-06,-1.50602711050932e-06,-1.80125765070198e-06,-1.89794156279857e-06,6.38838640549851e-05,-0.000377436099929281,0,-4.61669414937144e-05,-0.000248536670927737,-0.000392997419353214,-0.000357761516953774,-0.000337634748505385,3.03163830975416e-06,-5.85119302294613e-07,0,-6.01592375614904e-07,-3.86825926907436e-07,-4.44741707370606e-07,-6.36447196550512e-07,-5.96673307468412e-07,0.000965900244269482,-0.000206508010660197,0,-4.63700816535007e-05,-0.000161547871359574,-0.000142833950841941,-0.00018123209996721,-0.000201696228065212,-18599.382520806
6.72838125258953e-05,-1.38550264597053e-05,0,-3.38537261892316e-06,-1.03340749642404e-05,-1.03566608569033e-05,-1.28472701791681e-05,-1.32040121898397e-05,0.000682054377431729,-0.000142373706734478,0,-4.84253877947625e-05,-0.000104740669546266,-0.000102167711283362,-0.000134771121006732,-0.00013694025163238,3.85543409740243e-05,-6.76702946605063e-06,0,-7.43199120833052e-07,-6.2313304757988e-06,-7.88554343067568e-06,-6.81756308241179e-06,-6.81784436005013e-06,9.72213532676713e-05,-1.2589400278241e-05,0,-1.90170466912275e-05,-1.57645847024115e-05,-9.76256643442718e-06,-1.1969805049183e-05,-1.27035357960795e-05,7.02563441610176e-07,-0.000165850552668893,0,-9.53587083485625e-06,-0.00018978094846978,-0.000222032764854536,-0.000371738606827472,-0.000403306521882912,2.09540601058162e-05,-3.81336477400333e-06,0,-4.2045842506032e-06,-2.55938871699678e-06,-2.82881108993279e-06,-4.22211071689666e-06,-3.96631807201054e-06,0.00664299616597346,-0.00136206052223325,0,-0.000317662474456609,-0.0010833454781894,-0.000917444717365209,-0.00119948443308869,-0.00134790645752298,-17338.3160419926
7.70928956003574e-05,-1.59110350189036e-05,0,-3.8536156167216e-06,-1.18337302537093e-05,-1.18810337570893e-05,-1.46867707038283e-05,-1.50833163974642e-05,0.000781445689521075,-0.000163500161041855,0,-5.52626944761376e-05,-0.00011993218279783,-0.000117197330640591,-0.000154078142291653,-0.00015643289553248,4.41900091102384e-05,-7.77092301587071e-06,0,-8.36378096897538e-07,-7.13958193621891e-06,-9.05028316292361e-06,-7.79648232107741e-06,-7.79032243669375e-06,0.000111486351740099,-1.44584839673315e-05,0,-2.18088689007787e-05,-1.80729789263909e-05,-1.11997477772865e-05,-1.36803404817464e-05,-1.45100668685894e-05,-1.67877572003095e-06,-0.00025789159783713,0,4.58050167457926e-06,-0.000172463639997473,-0.000261590630658122,-0.00027472594698234,-0.00027864012539873,2.40099751782643e-05,-4.38124397257843e-06,0,-4.81811386555387e-06,-2.92833701505788e-06,-3.2456094399228e-06,-4.82578548707806e-06,-4.52715500540132e-06,0.00758999392257393,-0.00156084654528229,0,-0.000357324226002169,-0.00123775679467743,-0.00104962713391808,-0.00136856145376028,-0.00153776871143317,-17117.7567580625
8.33303988061918e-05,-1.76110948562854e-05,0,-3.34104197814949e-06,-1.28084263622099e-05,-1.30464048893361e-05,-1.61849462724973e-05,-1.6629527660483e-05,0.000843455149589499,-0.00018090573534738,0,-5.23062582422088e-05,-0.000129626346637826,-0.000128370246152007,-0.000169890210825329,-0.00017247555299471,4.81857090262587e-05,-8.59486554631494e-06,0,-4.21886836053295e-07,-7.81416289411327e-06,-1.01073872118708e-05,-8.61618776483035e-06,-8.60310959598694e-06,0.000123085127202178,-1.59824368927528e-05,0,-2.39921769635435e-05,-2.00262437356316e-05,-1.22958152257012e-05,-1.50647875752875e-05,-1.60116612469547e-05,-1.36490181966177e-06,-0.000246361267802731,0,9.93976462844547e-07,-0.000171283180245172,-0.000277444957817478,-0.000245955089845452,-0.000294526072172663,2.60065188612117e-05,-4.84639890170299e-06,0,-5.1819550821997e-06,-3.12754884473816e-06,-3.55658632775324e-06,-5.3491189587315e-06,-5.00375463219332e-06,0.00758787354119611,-0.00165423535030702,0,-0.000178594679397797,-0.00125641297265337,-0.00107641109897989,-0.00142958415729446,-0.00162188534336278,-17106.8787738442
