mode	independence	ind_3	ind_3_alt	mode_ind	mode_ind_3	mode_ind_3_alt	income_k	veh_per_driver	n_adults	has_mom	has_dad	non_work_mom	non_work_dad	age	female	has_lil_sib	has_big_sib	distance	density
8	10	10	10	810	810	810	12.5	0	1	TRUE	FALSE	TRUE	FALSE	11	FALSE	FALSE	FALSE	0.067578	289.5752895752896
7	22	20	20	722	720	720	175	1	1	TRUE	FALSE	FALSE	FALSE	9	TRUE	FALSE	FALSE	1.155262	2702.702702702703
7	22	20	20	722	720	720	87.5	1	1	TRUE	FALSE	FALSE	FALSE	8	TRUE	FALSE	FALSE	0.6757799999999999	1158.3011583011585
8	10	10	10	810	810	810	175	0	1	TRUE	FALSE	TRUE	FALSE	13	FALSE	TRUE	FALSE	0.590503	11583.011583011583
7	23	20	20	723	720	720	175	1	1	FALSE	TRUE	FALSE	FALSE	10	FALSE	FALSE	FALSE	1.6170449999999998	11583.011583011583
7	24	20	30	724	720	730	42.5	1	1	TRUE	FALSE	TRUE	FALSE	11	TRUE	TRUE	FALSE	0.49879	579.1505791505792
7	22	20	20	722	720	720	20	1	1	TRUE	FALSE	FALSE	FALSE	13	FALSE	TRUE	FALSE	0.902649	11583.011583011583
7	22	20	20	722	720	720	87.5	1	2	TRUE	TRUE	FALSE	FALSE	12	TRUE	FALSE	FALSE	0.6757799999999999	6563.706563706564
8	22	20	20	822	820	820	30	1	1	TRUE	FALSE	TRUE	FALSE	8	FALSE	FALSE	FALSE	0.27353	6563.706563706564
7	22	20	20	722	720	720	112.5	1	1	TRUE	FALSE	FALSE	FALSE	9	FALSE	FALSE	FALSE	1.551076	2702.702702702703
7	22	20	20	722	720	720	42.5	1	1	TRUE	FALSE	FALSE	FALSE	9	TRUE	TRUE	FALSE	1.185833	579.1505791505792
7	22	20	20	722	720	720	20	1	1	TRUE	FALSE	FALSE	FALSE	8	FALSE	FALSE	FALSE	1.9871150000000002	1158.3011583011585
7	22	20	20	722	720	720	87.5	2	1	TRUE	FALSE	TRUE	FALSE	9	TRUE	TRUE	FALSE	1.189051	115.83011583011583
7	22	20	20	722	720	720	137.5	3	1	TRUE	FALSE	FALSE	FALSE	13	TRUE	FALSE	FALSE	1.27111	579.1505791505792
8	10	10	10	810	810	810	42.5	1	1	TRUE	FALSE	FALSE	FALSE	13	FALSE	FALSE	FALSE	0.513271	11583.011583011583
8	10	10	10	810	810	810	42.5	1	1	TRUE	FALSE	FALSE	FALSE	11	TRUE	FALSE	FALSE	0.320191	2702.702702702703
7	22	20	20	722	720	720	42.5	1	1	TRUE	FALSE	FALSE	FALSE	13	TRUE	FALSE	TRUE	1.649225	2702.702702702703
8	10	10	10	810	810	810	42.5	1	1	FALSE	TRUE	FALSE	FALSE	12	FALSE	FALSE	FALSE	0.62751	6563.706563706564
8	30	30	30	830	830	830	112.5	2	1	FALSE	TRUE	FALSE	FALSE	10	FALSE	TRUE	FALSE	0.870469	2702.702702702703
7	22	20	20	722	720	720	62.5	1	1	TRUE	FALSE	FALSE	FALSE	10	TRUE	FALSE	FALSE	1.441664	2702.702702702703
7	22	20	20	722	720	720	42.5	1	1	TRUE	FALSE	FALSE	FALSE	9	FALSE	FALSE	FALSE	1.079639	2702.702702702703
7	22	20	20	722	720	720	87.5	1	1	TRUE	FALSE	FALSE	FALSE	11	FALSE	TRUE	FALSE	1.604173	2702.702702702703
8	24	20	30	824	820	830	5	0	2	TRUE	TRUE	TRUE	TRUE	11	FALSE	FALSE	FALSE	1.203532	2702.702702702703
7	22	20	20	722	720	720	30	1	1	TRUE	FALSE	FALSE	FALSE	10	TRUE	FALSE	FALSE	1.67336	6563.706563706564
7	22	20	20	722	720	720	30	1	1	TRUE	FALSE	FALSE	FALSE	12	FALSE	FALSE	FALSE	0.640382	1158.3011583011585
7	23	20	20	723	720	720	87.5	1	1	FALSE	TRUE	FALSE	FALSE	10	FALSE	TRUE	FALSE	0.778756	2702.702702702703
7	22	20	20	722	720	720	87.5	1	1	TRUE	FALSE	FALSE	FALSE	10	FALSE	TRUE	FALSE	1.6427889999999998	6563.706563706564
7	24	20	30	724	720	730	112.5	1	1	TRUE	FALSE	FALSE	FALSE	9	FALSE	FALSE	FALSE	0.725659	1158.3011583011585
7	22	20	20	722	720	720	20	1	1	TRUE	FALSE	FALSE	FALSE	13	FALSE	FALSE	FALSE	1.2727190000000002	2702.702702702703
7	22	20	20	722	720	720	5	1	1	TRUE	FALSE	TRUE	FALSE	8	FALSE	TRUE	FALSE	0.9605729999999999	289.5752895752896
8	22	20	20	822	820	820	62.5	1	1	TRUE	FALSE	TRUE	FALSE	9	TRUE	FALSE	FALSE	0.699915	1158.3011583011585
7	22	20	20	722	720	720	42.5	1	1	TRUE	FALSE	FALSE	FALSE	9	FALSE	FALSE	FALSE	1.19066	1158.3011583011585
7	22	20	20	722	720	720	62.5	1	1	TRUE	FALSE	FALSE	FALSE	10	TRUE	FALSE	FALSE	0.9058669999999999	6563.706563706564
7	24	20	30	724	720	730	42.5	2	1	FALSE	TRUE	FALSE	FALSE	13	FALSE	FALSE	FALSE	1.028151	2702.702702702703
7	23	20	20	723	720	720	42.5	2.5	2	TRUE	TRUE	FALSE	FALSE	12	TRUE	TRUE	FALSE	1.6653149999999999	579.1505791505792
9	10	10	10	910	910	910	87.5	2	1	FALSE	TRUE	FALSE	FALSE	12	FALSE	TRUE	FALSE	0.735313	6563.706563706564
8	24	20	30	824	820	830	20	1	1	TRUE	FALSE	FALSE	FALSE	8	FALSE	FALSE	FALSE	0.320191	2702.702702702703
7	23	20	20	723	720	720	42.5	2	1	FALSE	TRUE	FALSE	FALSE	12	TRUE	TRUE	FALSE	1.407875	2702.702702702703
7	22	20	20	722	720	720	20	1	1	TRUE	FALSE	TRUE	FALSE	11	TRUE	FALSE	FALSE	1.007234	579.1505791505792
8	24	20	30	824	820	830	5	0	1	TRUE	FALSE	FALSE	FALSE	13	FALSE	TRUE	FALSE	1.385349	2702.702702702703
8	22	20	20	822	820	820	5	0	1	TRUE	FALSE	TRUE	FALSE	9	TRUE	FALSE	FALSE	0.577631	6563.706563706564
7	23	20	20	723	720	720	5	1	1	FALSE	TRUE	FALSE	FALSE	10	FALSE	FALSE	FALSE	1.19066	2702.702702702703
8	22	20	20	822	820	820	62.5	1	1	TRUE	FALSE	FALSE	FALSE	12	TRUE	FALSE	FALSE	1.393394	2702.702702702703
7	22	20	20	722	720	720	30	1	1	TRUE	FALSE	FALSE	FALSE	13	TRUE	FALSE	TRUE	0.735313	1158.3011583011585
7	22	20	20	722	720	720	62.5	1	1	TRUE	FALSE	FALSE	FALSE	8	FALSE	FALSE	FALSE	1.172961	289.5752895752896
7	22	20	20	722	720	720	42.5	1	1	TRUE	FALSE	FALSE	FALSE	13	FALSE	FALSE	FALSE	1.822997	2702.702702702703
7	24	20	30	724	720	730	42.5	2	1	TRUE	FALSE	FALSE	FALSE	8	TRUE	TRUE	FALSE	1.5655569999999999	2702.702702702703
7	22	20	20	722	720	720	30	1	1	TRUE	FALSE	FALSE	FALSE	8	TRUE	FALSE	FALSE	1.618654	579.1505791505792
8	10	10	10	810	810	810	42.5	1	1	TRUE	FALSE	FALSE	FALSE	12	TRUE	FALSE	FALSE	1.283982	2702.702702702703
7	22	20	20	722	720	720	175	1	1	TRUE	FALSE	FALSE	FALSE	9	FALSE	TRUE	FALSE	1.30329	6563.706563706564
7	22	20	20	722	720	720	5	1	1	TRUE	FALSE	FALSE	FALSE	12	TRUE	TRUE	FALSE	1.02976	1158.3011583011585
7	22	20	20	722	720	720	62.5	1	1	TRUE	FALSE	FALSE	FALSE	8	FALSE	FALSE	FALSE	0.704742	2702.702702702703
7	24	20	30	724	720	730	30	2	1	FALSE	TRUE	FALSE	FALSE	9	TRUE	TRUE	FALSE	1.1134279999999999	2702.702702702703
8	30	30	30	830	830	830	20	1	1	TRUE	FALSE	FALSE	FALSE	10	FALSE	TRUE	FALSE	0.8913860000000001	2702.702702702703
8	22	20	20	822	820	820	5	0	1	TRUE	FALSE	TRUE	FALSE	9	TRUE	FALSE	TRUE	1.0973380000000001	2702.702702702703
7	22	20	20	722	720	720	62.5	2	1	TRUE	FALSE	FALSE	FALSE	10	FALSE	FALSE	FALSE	1.2373210000000001	2702.702702702703
7	23	20	20	723	720	720	42.5	12	1	FALSE	TRUE	FALSE	FALSE	11	FALSE	FALSE	FALSE	1.469017	6563.706563706564
7	22	20	20	722	720	720	30	1	1	TRUE	FALSE	FALSE	FALSE	11	TRUE	TRUE	FALSE	1.604173	6563.706563706564
8	24	20	30	824	820	830	5	0	1	TRUE	FALSE	TRUE	FALSE	13	TRUE	FALSE	FALSE	0.754621	1158.3011583011585
8	10	10	10	810	810	810	250	1	1	TRUE	FALSE	FALSE	FALSE	12	FALSE	FALSE	FALSE	1.5655569999999999	2702.702702702703
8	22	20	20	822	820	820	12.5	0	1	TRUE	FALSE	TRUE	FALSE	11	FALSE	TRUE	FALSE	0.534188	1158.3011583011585
7	23	20	20	723	720	720	137.5	1	1	FALSE	TRUE	FALSE	FALSE	10	TRUE	TRUE	FALSE	1.374086	2702.702702702703
8	24	20	30	824	820	830	137.5	1	1	TRUE	FALSE	FALSE	FALSE	12	FALSE	TRUE	FALSE	1.446491	289.5752895752896
7	23	20	20	723	720	720	112.5	1	1	FALSE	TRUE	FALSE	FALSE	9	FALSE	FALSE	FALSE	1.67336	2702.702702702703
7	22	20	20	722	720	720	42.5	2	2	TRUE	FALSE	TRUE	FALSE	8	TRUE	FALSE	TRUE	0.9718359999999999	1158.3011583011585
7	21	20	20	721	720	720	30	1	3	TRUE	TRUE	FALSE	TRUE	10	TRUE	FALSE	FALSE	1.993551	2702.702702702703
7	22	20	20	722	720	720	20	2	1	TRUE	FALSE	FALSE	FALSE	9	TRUE	FALSE	FALSE	1.982288	2702.702702702703
7	22	20	20	722	720	720	42.5	1	1	TRUE	FALSE	FALSE	FALSE	10	TRUE	TRUE	FALSE	0.754621	6563.706563706564
7	22	20	20	722	720	720	20	1	1	TRUE	FALSE	FALSE	FALSE	8	FALSE	FALSE	FALSE	0.968618	1158.3011583011585
7	22	20	20	722	720	720	137.5	1	1	TRUE	FALSE	FALSE	FALSE	8	FALSE	FALSE	FALSE	1.404657	2702.702702702703
8	10	10	10	810	810	810	12.5	1	1	TRUE	FALSE	FALSE	FALSE	11	TRUE	FALSE	FALSE	0.537406	1158.3011583011585
7	22	20	20	722	720	720	20	1	1	TRUE	FALSE	FALSE	FALSE	9	FALSE	FALSE	FALSE	0.606593	2702.702702702703
7	24	20	30	724	720	730	42.5	1	1	TRUE	FALSE	FALSE	FALSE	9	TRUE	TRUE	FALSE	1.39983	1158.3011583011585
7	23	20	20	723	720	720	62.5	1	1	FALSE	TRUE	FALSE	FALSE	11	TRUE	TRUE	FALSE	0.94931	1158.3011583011585
7	22	20	20	722	720	720	87.5	1	1	TRUE	FALSE	FALSE	FALSE	13	TRUE	FALSE	FALSE	1.153653	2702.702702702703
7	22	20	20	722	720	720	62.5	1	1	TRUE	FALSE	FALSE	FALSE	13	FALSE	TRUE	FALSE	1.906665	2702.702702702703
8	22	20	20	822	820	820	20	1	1	TRUE	FALSE	FALSE	FALSE	9	FALSE	TRUE	FALSE	0.5695859999999999	6563.706563706564
7	23	20	20	723	720	720	137.5	2	1	FALSE	TRUE	FALSE	FALSE	8	TRUE	TRUE	FALSE	1.6653149999999999	1158.3011583011585
7	22	20	20	722	720	720	20	1	1	TRUE	FALSE	TRUE	FALSE	10	FALSE	FALSE	FALSE	1.805298	1158.3011583011585
7	22	20	20	722	720	720	112.5	1	1	TRUE	FALSE	FALSE	FALSE	11	TRUE	FALSE	FALSE	1.20675	115.83011583011583
8	22	20	20	822	820	820	42.5	1	1	TRUE	FALSE	FALSE	FALSE	11	TRUE	TRUE	FALSE	0.11745699999999999	6563.706563706564
7	22	20	20	722	720	720	62.5	1	1	TRUE	FALSE	FALSE	FALSE	9	FALSE	FALSE	FALSE	0.37167900000000004	2702.702702702703
8	10	10	10	810	810	810	30	1	1	TRUE	FALSE	FALSE	FALSE	13	FALSE	FALSE	FALSE	0.9477009999999999	2702.702702702703
